lat,lng
47.59164946,-142.0917084
42.94114689,136.1004237
47.58372276,-141.8647177
53.0994413,179.1267122
40.22648724,130.9509619
43.93459652,-133.6189296
46.43416793,144.2183802
53.53229538,-174.9325914
38.15719604,-123.5298916
44.13251614,-133.6643733
51.66193017,-158.70913
47.70438895,-144.4318696
41.25685562,132.9721718
52.46846721,-164.6030738
44.72664721,139.4132705
48.13276662,147.480812
48.22956578,-145.6628872
53.37674867,177.7698947
53.29555991,-178.522725
43.51782534,-132.8382458
46.64767996,143.6480627
41.62840114,133.160806
38.90033539,-125.6668002
52.59928091,168.4719582
53.39117049,-178.0465205
45.8240397,142.2121382
52.16301478,165.0217031
51.36864872,162.1541765
51.44846857,-157.288386
52.43794647,167.1416323
52.66614708,174.858753
48.86891183,150.7697073
51.72731184,163.7209179
44.82881989,139.5399359
50.12387132,154.2853016
43.19627708,135.0199691
37.00111671,-123.0039003
39.90370072,130.7512537
35.59716199,-120.3672688
49.86067957,153.548634
47.9903618,146.7341219
52.2441167,-164.7778174
47.33704875,144.8472751
50.76598865,157.917911
41.26769448,-128.8464781
53.25148216,175.9779117
40.76017052,131.9694362
50.32732959,153.8915523
50.91940759,157.7367612
48.97283334,-148.0964091
52.8440501,-164.69142
51.70693996,162.2665065
46.81454399,-140.7224682
40.31618153,-127.6614307
53.64814006,-174.8226302
36.00300734,-120.6408687
49.30115163,-148.9255434
39.89264956,-127.3418832
37.90772225,126.6499488
38.3448268,-124.444015
52.5859614,-165.2680163
44.42704679,-135.5309294
50.22867237,-151.0932957
49.33526924,-147.9390868
42.90068057,-131.8623544
46.42866531,-138.5525371
52.66406385,-166.6849872
39.51115281,128.7553505
47.78510109,-143.8595682
53.24881301,-172.4352669
53.15613227,-175.9369364
49.10177549,151.6008069
35.41608198,-120.1134969
40.82816082,-129.5973069
48.71429285,-146.3893452
50.69936215,-151.9164846
53.36057462,-173.5143022
41.21901522,-129.2373519
51.32768976,160.6200214
47.47158624,-143.5200869
43.18886829,-133.1474848
52.80457529,170.629731
53.17061007,-173.4649523
34.1137475,-118.5823932
42.0692744,133.6468735
52.98097759,-172.3331852
53.24368307,-172.785541
37.35045789,-122.7837519
50.27723461,155.6735671
52.54466295,168.1925698
52.39838604,170.6502627
50.50879869,-152.2282281
39.08968954,-125.3818628
50.83274719,-155.4602899
42.69383559,-131.4862976
52.6503982,-168.5933506
52.91906198,-169.2123325
43.0489596,-132.4964168
40.95197417,-129.1616799
52.40869754,-162.8338414
50.82452559,-153.5206775
47.61811516,146.6493695
40.13332894,-127.3438347
38.42934471,-124.5897664
51.69559911,-158.1606465
46.50584347,-141.247514
52.83377866,175.7948354
49.23035936,-147.4605677
45.68673748,-137.7987843
34.83210544,-119.7328684
50.94222173,-154.869226
52.13998665,165.5492431
53.19693401,-173.8288808
40.59600847,130.8823768
50.27096272,-149.8216155
52.30512477,-160.7002867
49.1671136,151.3205751
50.77316362,-155.4726097
52.11194013,-161.8042895
49.76586362,152.2109692
47.22840468,-141.1890006
52.10198473,164.8696807
48.47167499,-144.6158319
41.20468237,131.4501189
53.6050082,175.7690176
52.79005863,180.0218287
48.55548826,148.9061498
45.07665269,-136.3836465
42.51419164,-130.9610578
49.38565644,149.9335137
47.24931805,145.2778386
45.29818926,-136.8204754
37.99261548,126.4517869
48.97279574,-148.2748014
48.71646136,-148.0054259
52.54179512,-166.522073
53.35458224,-169.3360228
50.81111417,-154.9935221
37.45002754,-123.4379734
52.71527778,-166.2456589
51.40396947,159.9827568
50.84538891,157.2390269
44.56686537,139.5452802
45.9050914,141.1025491
37.18694992,-122.9391681
52.72596155,170.0434133
52.67154607,-164.427319
40.23982249,-126.7341814
38.11911069,126.9394782
39.5107343,-125.9018792
53.03137025,-178.6411244
42.33496129,135.1460374
51.71933329,161.9423352
41.84751907,133.175615
39.11959448,128.9025304
53.52150993,-176.1817322
34.61248116,-119.1181017
45.74799455,141.5557206
46.75369696,144.163388
43.63942302,-133.1852306
42.98319919,-132.2183305
53.37416093,-177.0126795
45.5533663,-137.7421036
53.48327108,-180.3074358
47.21139253,144.3773444
41.14832995,131.8625507
45.90464496,-138.9061076
52.11046033,164.9034963
52.92504056,-170.1812519
50.11474728,-151.4912746
53.22537684,-174.78677
53.07817818,-167.9920795
47.04946125,144.6028734
45.67362151,-138.3617489
44.3662811,138.0657882
51.51937705,161.3446294
48.57919636,149.4292047
37.05266497,-122.2358188
45.13607745,140.0327012
53.05669485,176.731249
48.48244037,149.2255086
40.18218516,129.9045291
39.83755192,-126.6580136
40.6206692,-128.2616901
53.0368147,171.4430865
51.40430216,162.4709284
36.63692004,-122.4207391
50.34011423,155.6223093
44.37529657,-135.2842503
42.7360372,134.953415
38.99704031,-124.9715502
45.42659592,-138.3076262
35.68856554,-120.5549309
51.51233514,-157.3342231
36.52668708,-121.3410606
50.69792915,-153.1562564
46.88025874,144.4851151
43.99902152,-134.1043217
51.59743056,161.0437099
37.86918152,-123.2564948
53.30997546,173.0882975
50.18429378,156.9814071
50.63878894,155.6474108
52.21581117,-161.1877624
50.19510313,-153.4602993
39.96170346,130.0968636
53.53036071,177.2379335
51.22945173,161.1314719
47.8005572,-144.1267563
42.95047793,-132.1649894
37.27500493,-123.2790263
47.98134849,-145.4863573
39.61010495,-126.1747981
43.66086654,-134.3444254
44.7027722,-134.724468
48.48794747,-144.9118507
47.24425268,-142.4751969
41.93003109,-130.0860213
43.97127684,-133.5280509
45.73696093,141.4622397
45.88077562,-139.3521632
43.92464391,138.5749828
52.87365792,169.8785205
49.99912174,-151.2771633
53.138119,-178.8125702
53.1927232,-173.1371095
53.47137307,-173.6154367
50.85852532,-154.9937085
46.46350525,-138.9451356
52.52984123,168.5191707
52.14841669,161.3600595
46.60561747,-140.8890566
37.37791266,-122.5476045
44.95380212,-137.0752645
40.06149198,-128.0785363
50.40439614,154.6438574
53.11411195,-177.7852385
44.87858983,-135.2083828
46.95667629,-140.8810847
47.37453948,144.7198348
51.88756707,-163.0512836
47.02879988,144.1949273
47.57223933,146.4386255
52.22732336,-163.5662368
39.44980649,-125.9990198
48.70332578,149.7742265
38.44832658,-124.8603534
51.38730069,-159.4331674
53.33254623,-171.6673902
52.22395997,-163.3461036
52.07084925,-163.1380289
35.26207048,-120.9640333
52.44820936,-161.8858284
46.65331759,-140.5165802
48.31504713,147.2527733
51.81614039,164.5643885
51.46345887,162.1944469
52.73129868,-165.8205313
52.64963045,-168.7328863
44.8693805,-136.023496
51.79165459,166.5608389
47.32032146,145.173239
49.79685175,-150.8977527
52.56092653,-164.6760985
44.92509413,139.1647164
51.85870504,163.1642485
50.17422038,152.7473406
52.95230754,-179.6238238
48.54619613,148.8314044
53.74533171,-176.9183194
45.5808926,-137.9525022
43.31319365,136.0084686
42.35922829,135.3182822
40.89719812,132.5046371
47.64347286,145.4843
44.97115068,139.6671598
51.01869462,158.652553
